indice,asignatura,calif_numerica,calif,cod_asig,cod_plan,conv,curso_aca,id,plan,universidad,cod_universidad
2358,Enfermería Clinica Avanzada I,5.97,Aprobado,ENFERMERÍACLINICAAVANZADAI4822,Grado-en-Enfermería,Julio,2018/2019,mzVlY#####,Plan 2018,Universidad de la Laguna,ULL015
2359,Prácticas Clinicas III,7.84,Aprobado,PRÁCTICASCLINICASIII5903,Grado-en-Enfermería,Septiembre,2018/2019,mzVlY#####,Plan 2018,Universidad de la Laguna,ULL015
2360,Fisiología y Fisiopatología,4.42,Suspenso,FISIOLOGÍAYFISIOPATOLOGÍA9591,Grado-en-Enfermería,Julio,2019/2020,mzVlY#####,Plan 2018,Universidad de la Laguna,ULL015
2361,Electrónica Digital,1.77,No presentado,ELECTRÓNICADIGITAL7623,Grado-en-Enfermería,Junio,2019/2020,mzVlY#####,Plan 2018,Universidad de la Laguna,ULL015
2362,Optimización,1.53,No presentado,OPTIMIZACIÓN1292,Grado-en-Enfermería,Julio,2019/2020,mzVlY#####,Plan 2018,Universidad de la Laguna,ULL015
2363,Enfermería Clinica I,6.76,Aprobado,ENFERMERÍACLINICAI8782,Grado-en-Enfermería,Junio,2019/2020,mzVlY#####,Plan 2018,Universidad de la Laguna,ULL015
2364,Fundamentos Matemáticos,1.33,No presentado,FUNDAMENTOSMATEMÁTICOS6799,Grado-en-Enfermería,Junio,2019/2020,mzVlY#####,Plan 2018,Universidad de la Laguna,ULL015
2365,Enfermería Comunitaria,3.88,No presentado,ENFERMERÍACOMUNITARIA9799,Grado-en-Enfermería,Junio,2020/2021,mzVlY#####,Plan 2018,Universidad de la Laguna,ULL015
2366,Inteligencia Emocional,9.86,Aprobado,INTELIGENCIAEMOCIONAL9790,Grado-en-Enfermería,Junio,2020/2021,mzVlY#####,Plan 2018,Universidad de la Laguna,ULL015
2367,Informática Básica,5.08,Aprobado,INFORMÁTICABÁSICA4496,Grado-en-Enfermería,Julio,2020/2021,mzVlY#####,Plan 2018,Universidad de la Laguna,ULL015
2368,Enfermería Clinica II,2.17,No presentado,ENFERMERÍACLINICAII4583,Grado-en-Enfermería,Septiembre,2020/2021,mzVlY#####,Plan 2018,Universidad de la Laguna,ULL015
2369,Prácticas Clinicas III,7.51,Aprobado,PRÁCTICASCLINICASIII8097,Grado-en-Enfermería,Septiembre,2020/2021,mzVlY#####,Plan 2018,Universidad de la Laguna,ULL015
2370,Fundamentos Matemáticos,3.16,No presentado,FUNDAMENTOSMATEMÁTICOS1012,Máster-Universitario-en-Ingeniería-Informática,Julio,2017/2018,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2371,Oficina Técnica/Proyectos,7.22,Aprobado,OFICINATÉCNICA/PROYECTOS4215,Máster-Universitario-en-Ingeniería-Informática,Septiembre,2017/2018,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2372,Inglés Técnico,6.77,Aprobado,INGLÉSTÉCNICO2389,Máster-Universitario-en-Ingeniería-Informática,Junio,2017/2018,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2373,Procesos Psicosociales,1.55,No presentado,PROCESOSPSICOSOCIALES9240,Máster-Universitario-en-Ingeniería-Informática,Septiembre,2017/2018,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2374,Ánalisis de Datos Masivos,4.79,Suspenso,ÁNALISISDEDATOSMASIVOS9670,Máster-Universitario-en-Ingeniería-Informática,Septiembre,2017/2018,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2375,Inteligencia Artificial,5.13,Aprobado,INTELIGENCIAARTIFICIAL8421,Máster-Universitario-en-Ingeniería-Informática,Julio,2018/2019,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2376,Sistemas de Interacción Persona-Computador,4.45,Suspenso,SISTEMASDEINTERACCIÓNPERSONA-COMPUTADOR7137,Máster-Universitario-en-Ingeniería-Informática,Septiembre,2018/2019,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2377,Informática,0.89,No presentado,INFORMÁTICA6571,Máster-Universitario-en-Ingeniería-Informática,Julio,2018/2019,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2378,Proyectos de Instalaciones,7.28,Aprobado,PROYECTOSDEINSTALACIONES2292,Máster-Universitario-en-Ingeniería-Informática,Julio,2018/2019,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2379,Bioquímica y Nutrición,4.19,Suspenso,BIOQUÍMICAYNUTRICIÓN9692,Máster-Universitario-en-Ingeniería-Informática,Julio,2018/2019,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2380,Inglés Técnico,5.51,Aprobado,INGLÉSTÉCNICO6499,Máster-Universitario-en-Ingeniería-Informática,Junio,2019/2020,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2381,Enfermería de la Infancia y Adolescencia,3.1,No presentado,ENFERMERÍADELAINFANCIAYADOLESCENCIA7429,Máster-Universitario-en-Ingeniería-Informática,Septiembre,2019/2020,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2382,Redes y Sistemas Distribuidos,2.9,No presentado,REDESYSISTEMASDISTRIBUIDOS4753,Máster-Universitario-en-Ingeniería-Informática,Septiembre,2019/2020,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2383,Sistemas y Técnologías Web Arquitectura,4.78,Suspenso,SISTEMASYTÉCNOLOGÍASWEBARQUITECTURA9859,Máster-Universitario-en-Ingeniería-Informática,Septiembre,2019/2020,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2384,Inteligencia Emocional,3.72,No presentado,INTELIGENCIAEMOCIONAL3335,Máster-Universitario-en-Ingeniería-Informática,Junio,2019/2020,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2385,Redes y Sistemas Distribuidos,7.72,Aprobado,REDESYSISTEMASDISTRIBUIDOS3068,Máster-Universitario-en-Ingeniería-Informática,Junio,2020/2021,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2386,Inglés Aplicado para la Comunicación en Salud,6.25,Aprobado,INGLÉSAPLICADOPARALACOMUNICACIÓNENSALUD2266,Máster-Universitario-en-Ingeniería-Informática,Julio,2020/2021,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2387,Preveción de Riesgos Laborales,3.14,No presentado,PREVECIÓNDERIESGOSLABORALES9594,Máster-Universitario-en-Ingeniería-Informática,Junio,2020/2021,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2388,Bases de Datos,4.92,Suspenso,BASESDEDATOS3779,Máster-Universitario-en-Ingeniería-Informática,Junio,2020/2021,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2389,Código Deontológico y Aspectos Legales,2.05,No presentado,CÓDIGODEONTOLÓGICOYASPECTOSLEGALES2619,Máster-Universitario-en-Ingeniería-Informática,Julio,2020/2021,eFLzU#####,Plan 2018,Universidad de la Laguna,ULL015
2390,Habilidades Interpersonales y Comunicación,0.66,No presentado,HABILIDADESINTERPERSONALESYCOMUNICACIÓN5052,Grado-en-Enfermería,Junio,2017/2018,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2391,Prácticas Clinicas IV,6.64,Aprobado,PRÁCTICASCLINICASIV2188,Grado-en-Enfermería,Septiembre,2017/2018,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2392,Sistemas Robotizados,1.37,No presentado,SISTEMASROBOTIZADOS3176,Grado-en-Enfermería,Julio,2017/2018,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2393,Prácticas Externas,0.02,No presentado,PRÁCTICASEXTERNAS5841,Grado-en-Enfermería,Junio,2017/2018,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2394,Enfermería Clinica I,0.53,No presentado,ENFERMERÍACLINICAI9078,Grado-en-Enfermería,Julio,2017/2018,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2395,Expresión Gráfica para la Ingeniería,2.08,No presentado,EXPRESIÓNGRÁFICAPARALAINGENIERÍA1271,Grado-en-Enfermería,Junio,2018/2019,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2396,Informática Industrial,1.59,No presentado,INFORMÁTICAINDUSTRIAL4553,Grado-en-Enfermería,Junio,2018/2019,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2397,Prácticas Clínicas II,7.32,Aprobado,PRÁCTICASCLÍNICASII3614,Grado-en-Enfermería,Junio,2018/2019,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2398,Lenguajes y Paradigmas de Programación,9.2,Aprobado,LENGUAJESYPARADIGMASDEPROGRAMACIÓN9207,Grado-en-Enfermería,Julio,2018/2019,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2399,Inteligencia Emocional,6.74,Aprobado,INTELIGENCIAEMOCIONAL2087,Grado-en-Enfermería,Septiembre,2018/2019,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2400,Investigación y Enfermería,4.73,Suspenso,INVESTIGACIÓNYENFERMERÍA8348,Grado-en-Enfermería,Julio,2019/2020,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2401,Automatización Industrial Avanzada,3.0,No presentado,AUTOMATIZACIÓNINDUSTRIALAVANZADA4230,Grado-en-Enfermería,Julio,2019/2020,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2402,Prácticas Externas,9.16,Aprobado,PRÁCTICASEXTERNAS8522,Grado-en-Enfermería,Junio,2019/2020,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2403,Enfermería Clinica I,8.57,Aprobado,ENFERMERÍACLINICAI1870,Grado-en-Enfermería,Julio,2019/2020,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2404,Bases de Datos,2.43,No presentado,BASESDEDATOS7415,Grado-en-Enfermería,Julio,2019/2020,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2405,Enfermería Clinica Avanzada,0.62,No presentado,ENFERMERÍACLINICAAVANZADA6327,Grado-en-Enfermería,Junio,2020/2021,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2406,Ingeniería Logística,6.48,Aprobado,INGENIERÍALOGÍSTICA2339,Grado-en-Enfermería,Julio,2020/2021,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2407,Modelado de Datos,7.87,Aprobado,MODELADODEDATOS2045,Grado-en-Enfermería,Junio,2020/2021,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2408,Fundamentos Químicos en la Ingeniería,0.16,No presentado,FUNDAMENTOSQUÍMICOSENLAINGENIERÍA1990,Grado-en-Enfermería,Julio,2020/2021,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2409,Seguridad en Sistemas y Tecnologías Web,5.29,Aprobado,SEGURIDADENSISTEMASYTECNOLOGÍASWEB9512,Grado-en-Enfermería,Julio,2020/2021,QZgME#####,Plan 2018,Universidad de la Laguna,ULL015
2410,Ingeniería de Control,7.43,Aprobado,INGENIERÍADECONTROL2004,Grado-en-Ingeniería-Informática,Julio,2017/2018,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2411,Fundamentos Físicos para la Ingeniería,6.99,Aprobado,FUNDAMENTOSFÍSICOSPARALAINGENIERÍA1323,Grado-en-Ingeniería-Informática,Septiembre,2017/2018,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2412,Álgebra,4.44,Suspenso,ÁLGEBRA4531,Grado-en-Ingeniería-Informática,Junio,2017/2018,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2413,Administración de Sistemas,6.25,Aprobado,ADMINISTRACIÓNDESISTEMAS5284,Grado-en-Ingeniería-Informática,Junio,2017/2018,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2414,Anatomía Humana e Histología,4.28,Suspenso,ANATOMÍAHUMANAEHISTOLOGÍA2359,Grado-en-Ingeniería-Informática,Septiembre,2017/2018,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2415,Ingeniería de Materiales,7.79,Aprobado,INGENIERÍADEMATERIALES9824,Grado-en-Ingeniería-Informática,Junio,2018/2019,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2416,Ingeniería Logística,8.57,Aprobado,INGENIERÍALOGÍSTICA3189,Grado-en-Ingeniería-Informática,Septiembre,2018/2019,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2417,Dirección y Gestión de Proyectos,4.34,Suspenso,DIRECCIÓNYGESTIÓNDEPROYECTOS4868,Grado-en-Ingeniería-Informática,Junio,2018/2019,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2418,Fundamentos de Ingeniería Electrónica,1.8,No presentado,FUNDAMENTOSDEINGENIERÍAELECTRÓNICA8957,Grado-en-Ingeniería-Informática,Julio,2018/2019,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2419,Sistemas y Tecnologías Web Cliente,9.95,Aprobado,SISTEMASYTECNOLOGÍASWEBCLIENTE2188,Grado-en-Ingeniería-Informática,Junio,2018/2019,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2420,Enfermería Clinica I,1.66,No presentado,ENFERMERÍACLINICAI9427,Grado-en-Ingeniería-Informática,Junio,2019/2020,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2421,Ingeniería Térmica,4.57,Suspenso,INGENIERÍATÉRMICA1703,Grado-en-Ingeniería-Informática,Julio,2019/2020,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2422,Fundamentos Químicos en la Ingeniería,9.5,Aprobado,FUNDAMENTOSQUÍMICOSENLAINGENIERÍA3668,Grado-en-Ingeniería-Informática,Junio,2019/2020,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2423,Administración de Infraestructuras TIC y Sistemas,3.27,No presentado,ADMINISTRACIÓNDEINFRAESTRUCTURASTICYSISTEMAS7689,Grado-en-Ingeniería-Informática,Septiembre,2019/2020,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2424,Modelado de Datos,6.1,Aprobado,MODELADODEDATOS8548,Grado-en-Ingeniería-Informática,Julio,2019/2020,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2425,Métodos Estadísticos,9.37,Aprobado,MÉTODOSESTADÍSTICOS9964,Grado-en-Ingeniería-Informática,Junio,2020/2021,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2426,Física 1,3.13,No presentado,FÍSICA18924,Grado-en-Ingeniería-Informática,Julio,2020/2021,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2427,Administración de Sistemas,1.08,No presentado,ADMINISTRACIÓNDESISTEMAS8373,Grado-en-Ingeniería-Informática,Julio,2020/2021,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2428,Optimización,2.23,No presentado,OPTIMIZACIÓN6898,Grado-en-Ingeniería-Informática,Junio,2020/2021,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2429,Sistemas y Tecnologías Despliegue y Mantenimiento,2.98,No presentado,SISTEMASYTECNOLOGÍASDESPLIEGUEYMANTENIMIENTO9723,Grado-en-Ingeniería-Informática,Julio,2020/2021,bUgac#####,Plan 2018,Universidad de la Laguna,ULL015
2430,Sistemas Electrónicos Digitales,4.8,Suspenso,SISTEMASELECTRÓNICOSDIGITALES4253,Grado-en-Enfermería,Julio,2017/2018,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2431,Enfermería Clinica I,3.92,No presentado,ENFERMERÍACLINICAI1439,Grado-en-Enfermería,Junio,2017/2018,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2432,Automatización Industrial Avanzada,2.1,No presentado,AUTOMATIZACIÓNINDUSTRIALAVANZADA1073,Grado-en-Enfermería,Junio,2017/2018,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2433,Electrónica Digital,5.33,Aprobado,ELECTRÓNICADIGITAL5679,Grado-en-Enfermería,Septiembre,2017/2018,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2434,Prácticas Clinicas III,5.46,Aprobado,PRÁCTICASCLINICASIII4665,Grado-en-Enfermería,Julio,2017/2018,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2435,Sistemas Operativos,5.44,Aprobado,SISTEMASOPERATIVOS7024,Grado-en-Enfermería,Julio,2018/2019,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2436,Electrónica Digital,2.54,No presentado,ELECTRÓNICADIGITAL5902,Grado-en-Enfermería,Junio,2018/2019,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2437,Automatización y Control Industrial,3.97,No presentado,AUTOMATIZACIÓNYCONTROLINDUSTRIAL4969,Grado-en-Enfermería,Junio,2018/2019,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2438,Organización y Gestión de Proyectos,3.71,No presentado,ORGANIZACIÓNYGESTIÓNDEPROYECTOS9032,Grado-en-Enfermería,Junio,2018/2019,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2439,Inglés para la Salud,4.13,Suspenso,INGLÉSPARALASALUD5697,Grado-en-Enfermería,Septiembre,2018/2019,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2440,Gestión de la Calidad,0.3,No presentado,GESTIÓNDELACALIDAD6851,Grado-en-Enfermería,Julio,2019/2020,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2441,Cálculo,6.08,Aprobado,CÁLCULO5308,Grado-en-Enfermería,Julio,2019/2020,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2442,Código Deontológico y Aspectos Legales,6.49,Aprobado,CÓDIGODEONTOLÓGICOYASPECTOSLEGALES8887,Grado-en-Enfermería,Junio,2019/2020,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2443,Enfermería Comunitaria,3.34,No presentado,ENFERMERÍACOMUNITARIA5297,Grado-en-Enfermería,Septiembre,2019/2020,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2444,Investigación y Enfermería,2.33,No presentado,INVESTIGACIÓNYENFERMERÍA9042,Grado-en-Enfermería,Julio,2019/2020,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2445,Redes y Sistemas Distribuidos,4.64,Suspenso,REDESYSISTEMASDISTRIBUIDOS3127,Grado-en-Enfermería,Junio,2020/2021,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2446,Inglés para la Salud,7.02,Aprobado,INGLÉSPARALASALUD5043,Grado-en-Enfermería,Junio,2020/2021,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2447,Análisis de Sistemas Software,7.18,Aprobado,ANÁLISISDESISTEMASSOFTWARE7354,Grado-en-Enfermería,Julio,2020/2021,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2448,Algoritmos y Estructuras de Datos,0.89,No presentado,ALGORITMOSYESTRUCTURASDEDATOS2593,Grado-en-Enfermería,Septiembre,2020/2021,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2449,Fundamentos Matemáticos,4.61,Suspenso,FUNDAMENTOSMATEMÁTICOS3478,Grado-en-Enfermería,Septiembre,2020/2021,SnMqp#####,Plan 2018,Universidad de la Laguna,ULL015
2450,Ampliación de Ingeniería Eléctrica,5.39,Aprobado,AMPLIACIÓNDEINGENIERÍAELÉCTRICA1942,Grado-en-Enfermería,Julio,2017/2018,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2451,Organización y Gestión Empresarial,4.64,Suspenso,ORGANIZACIÓNYGESTIÓNEMPRESARIAL7581,Grado-en-Enfermería,Julio,2017/2018,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2452,Anatomía Humana e Histología,0.2,No presentado,ANATOMÍAHUMANAEHISTOLOGÍA6026,Grado-en-Enfermería,Julio,2017/2018,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2453,Lenguajes y Paradigmas de Programación,5.05,Aprobado,LENGUAJESYPARADIGMASDEPROGRAMACIÓN7318,Grado-en-Enfermería,Septiembre,2017/2018,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2454,Cálculo,8.43,Aprobado,CÁLCULO2353,Grado-en-Enfermería,Septiembre,2017/2018,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2455,Gestión de Comunicación y Conocimiento Empresarial,4.38,Suspenso,GESTIÓNDECOMUNICACIÓNYCONOCIMIENTOEMPRESARIAL7559,Grado-en-Enfermería,Julio,2018/2019,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2456,Oficina Técnica/Proyectos,6.41,Aprobado,OFICINATÉCNICA/PROYECTOS5963,Grado-en-Enfermería,Junio,2018/2019,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2457,Bases Teóricas y Metodológicas de la Enfermería,1.42,No presentado,BASESTEÓRICASYMETODOLÓGICASDELAENFERMERÍA7562,Grado-en-Enfermería,Junio,2018/2019,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2458,Prácticas Clinicas IV,9.49,Aprobado,PRÁCTICASCLINICASIV9220,Grado-en-Enfermería,Junio,2018/2019,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2459,Álgebra,3.13,No presentado,ÁLGEBRA5580,Grado-en-Enfermería,Junio,2018/2019,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2460,Informática Industrial,4.95,Suspenso,INFORMÁTICAINDUSTRIAL2232,Grado-en-Enfermería,Junio,2019/2020,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2461,Física 1,7.64,Aprobado,FÍSICA19552,Grado-en-Enfermería,Julio,2019/2020,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2462,Ciencias Psicosociales Aplicadas,8.68,Aprobado,CIENCIASPSICOSOCIALESAPLICADAS2025,Grado-en-Enfermería,Junio,2019/2020,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2463,Organizaciones Empresariales,0.15,No presentado,ORGANIZACIONESEMPRESARIALES6221,Grado-en-Enfermería,Septiembre,2019/2020,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2464,Sistema Electrónicos Digitales,8.75,Aprobado,SISTEMAELECTRÓNICOSDIGITALES3408,Grado-en-Enfermería,Julio,2019/2020,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2465,Enfermería en Quirófano,2.26,No presentado,ENFERMERÍAENQUIRÓFANO6093,Grado-en-Enfermería,Julio,2020/2021,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2466,Física 1,8.9,Aprobado,FÍSICA14491,Grado-en-Enfermería,Junio,2020/2021,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2467,Habilidades Interpersonales y Comunicación,3.84,No presentado,HABILIDADESINTERPERSONALESYCOMUNICACIÓN7233,Grado-en-Enfermería,Junio,2020/2021,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2468,Sistemas Operativos,0.76,No presentado,SISTEMASOPERATIVOS8639,Grado-en-Enfermería,Julio,2020/2021,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2469,Ampliación de Ingeniería Eléctrica,7.38,Aprobado,AMPLIACIÓNDEINGENIERÍAELÉCTRICA1882,Grado-en-Enfermería,Septiembre,2020/2021,AkAzT#####,Plan 2018,Universidad de la Laguna,ULL015
2470,Computabilidad y Algoritmia,5.93,Aprobado,COMPUTABILIDADYALGORITMIA3680,Grado-en-Ingeniería-Electrónica,Junio,2017/2018,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2471,Lenguajes y Paradigmas de Programación,8.58,Aprobado,LENGUAJESYPARADIGMASDEPROGRAMACIÓN3388,Grado-en-Ingeniería-Electrónica,Julio,2017/2018,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2472,Automatización y Control Industrial,6.59,Aprobado,AUTOMATIZACIÓNYCONTROLINDUSTRIAL5781,Grado-en-Ingeniería-Electrónica,Septiembre,2017/2018,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2473,Bioquímica y Nutrición,5.44,Aprobado,BIOQUÍMICAYNUTRICIÓN6754,Grado-en-Ingeniería-Electrónica,Junio,2017/2018,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2474,Gestión de Comunicación y Conocimiento Empresarial,4.72,Suspenso,GESTIÓNDECOMUNICACIÓNYCONOCIMIENTOEMPRESARIAL2264,Grado-en-Ingeniería-Electrónica,Septiembre,2017/2018,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2475,Inglés Aplicado para la Comunicación en Salud,3.17,No presentado,INGLÉSAPLICADOPARALACOMUNICACIÓNENSALUD5638,Grado-en-Ingeniería-Electrónica,Junio,2018/2019,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2476,Bioquímica y Nutrición,6.38,Aprobado,BIOQUÍMICAYNUTRICIÓN8121,Grado-en-Ingeniería-Electrónica,Junio,2018/2019,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2477,Sistemas Robotizados,2.59,No presentado,SISTEMASROBOTIZADOS4596,Grado-en-Ingeniería-Electrónica,Julio,2018/2019,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2478,Estructuras de Computadores,4.8,Suspenso,ESTRUCTURASDECOMPUTADORES2261,Grado-en-Ingeniería-Electrónica,Junio,2018/2019,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2479,Sistemas y Técnologías Web Arquitectura,9.66,Aprobado,SISTEMASYTÉCNOLOGÍASWEBARQUITECTURA1167,Grado-en-Ingeniería-Electrónica,Junio,2018/2019,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2480,Álgebra,0.18,No presentado,ÁLGEBRA9660,Grado-en-Ingeniería-Electrónica,Septiembre,2019/2020,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2481,Sistemas Electrónicos Digitales,1.16,No presentado,SISTEMASELECTRÓNICOSDIGITALES2112,Grado-en-Ingeniería-Electrónica,Septiembre,2019/2020,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2482,Enfermería Comunitaria,1.57,No presentado,ENFERMERÍACOMUNITARIA9178,Grado-en-Ingeniería-Electrónica,Julio,2019/2020,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2483,Trabajo Fin de Grado,0.37,No presentado,TRABAJOFINDEGRADO1588,Grado-en-Ingeniería-Electrónica,Julio,2019/2020,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2484,Fundamentos de Ingeniería Electrónica,6.88,Aprobado,FUNDAMENTOSDEINGENIERÍAELECTRÓNICA2073,Grado-en-Ingeniería-Electrónica,Junio,2019/2020,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2485,Redes y Sistemas Distribuidos,9.51,Aprobado,REDESYSISTEMASDISTRIBUIDOS9271,Grado-en-Ingeniería-Electrónica,Julio,2020/2021,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2486,Trabajo de Fin de Máster,9.54,Aprobado,TRABAJODEFINDEMÁSTER5368,Grado-en-Ingeniería-Electrónica,Julio,2020/2021,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2487,Diseño Arquitectónico y Patrones,6.96,Aprobado,DISEÑOARQUITECTÓNICOYPATRONES2926,Grado-en-Ingeniería-Electrónica,Septiembre,2020/2021,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2488,Organización y Gestión de Proyectos,0.37,No presentado,ORGANIZACIÓNYGESTIÓNDEPROYECTOS2665,Grado-en-Ingeniería-Electrónica,Julio,2020/2021,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
2489,Anatomía Humana e Histología,5.46,Aprobado,ANATOMÍAHUMANAEHISTOLOGÍA4712,Grado-en-Ingeniería-Electrónica,Junio,2020/2021,Klacn#####,Plan 2018,Universidad de la Laguna,ULL015
